"record_id","species_id","date","sex","variable","measurement"
1,"NL","1977-7-16","M","hindfoot_length",32
1,"NL","1977-7-16","M","weight",NA
2,"NL","1977-7-16","M","hindfoot_length",33
2,"NL","1977-7-16","M","weight",NA
3,"DM","1977-7-16","F","hindfoot_length",37
3,"DM","1977-7-16","F","weight",NA
4,"DM","1977-7-16","M","hindfoot_length",36
4,"DM","1977-7-16","M","weight",NA
5,"DM","1977-7-16","M","hindfoot_length",35
5,"DM","1977-7-16","M","weight",NA
6,"PF","1977-7-16","M","hindfoot_length",14
6,"PF","1977-7-16","M","weight",NA
7,"PE","1977-7-16","F","hindfoot_length",NA
7,"PE","1977-7-16","F","weight",NA
8,"DM","1977-7-16","M","hindfoot_length",37
8,"DM","1977-7-16","M","weight",NA
9,"DM","1977-7-16","F","hindfoot_length",34
9,"DM","1977-7-16","F","weight",NA
10,"PF","1977-7-16","F","hindfoot_length",20
10,"PF","1977-7-16","F","weight",NA
11,"DS","1977-7-16","F","hindfoot_length",53
11,"DS","1977-7-16","F","weight",NA
12,"DM","1977-7-16","M","hindfoot_length",38
12,"DM","1977-7-16","M","weight",NA
13,"DM","1977-7-16","M","hindfoot_length",35
13,"DM","1977-7-16","M","weight",NA
15,"DM","1977-7-16","F","hindfoot_length",36
15,"DM","1977-7-16","F","weight",NA
16,"DM","1977-7-16","F","hindfoot_length",36
16,"DM","1977-7-16","F","weight",NA
17,"DS","1977-7-16","F","hindfoot_length",48
17,"DS","1977-7-16","F","weight",NA
18,"PP","1977-7-16","M","hindfoot_length",22
18,"PP","1977-7-16","M","weight",NA
20,"DS","1977-7-17","F","hindfoot_length",48
20,"DS","1977-7-17","F","weight",NA
21,"DM","1977-7-17","F","hindfoot_length",34
21,"DM","1977-7-17","F","weight",NA
22,"NL","1977-7-17","F","hindfoot_length",31
22,"NL","1977-7-17","F","weight",NA
23,"DM","1977-7-17","M","hindfoot_length",36
23,"DM","1977-7-17","M","weight",NA
24,"SH","1977-7-17","M","hindfoot_length",21
24,"SH","1977-7-17","M","weight",NA
25,"DM","1977-7-17","M","hindfoot_length",35
25,"DM","1977-7-17","M","weight",NA
26,"DM","1977-7-17","M","hindfoot_length",31
26,"DM","1977-7-17","M","weight",NA
27,"DM","1977-7-17","M","hindfoot_length",36
27,"DM","1977-7-17","M","weight",NA
28,"DM","1977-7-17","M","hindfoot_length",38
28,"DM","1977-7-17","M","weight",NA
29,"PP","1977-7-17","M","hindfoot_length",NA
29,"PP","1977-7-17","M","weight",NA
30,"DS","1977-7-17","F","hindfoot_length",52
30,"DS","1977-7-17","F","weight",NA
31,"DM","1977-7-17","F","hindfoot_length",37
31,"DM","1977-7-17","F","weight",NA
32,"DM","1977-7-17","F","hindfoot_length",35
32,"DM","1977-7-17","F","weight",NA
33,"DM","1977-7-17","F","hindfoot_length",36
33,"DM","1977-7-17","F","weight",NA
35,"DM","1977-7-17","F","hindfoot_length",38
35,"DM","1977-7-17","F","weight",NA
36,"OT","1977-7-17","F","hindfoot_length",22
36,"OT","1977-7-17","F","weight",NA
37,"DM","1977-7-17","F","hindfoot_length",35
37,"DM","1977-7-17","F","weight",NA
38,"NL","1977-7-17","M","hindfoot_length",33
38,"NL","1977-7-17","M","weight",NA
39,"DM","1977-7-17","F","hindfoot_length",36
39,"DM","1977-7-17","F","weight",NA
40,"DM","1977-7-18","M","hindfoot_length",36
40,"DM","1977-7-18","M","weight",NA
41,"DM","1977-7-18","F","hindfoot_length",34
41,"DM","1977-7-18","F","weight",NA
42,"DS","1977-7-18","F","hindfoot_length",46
42,"DS","1977-7-18","F","weight",NA
43,"DM","1977-7-18","M","hindfoot_length",36
43,"DM","1977-7-18","M","weight",NA
44,"DM","1977-7-18","F","hindfoot_length",35
44,"DM","1977-7-18","F","weight",NA
45,"DM","1977-7-18","M","hindfoot_length",36
45,"DM","1977-7-18","M","weight",NA
46,"DM","1977-7-18","M","hindfoot_length",35
46,"DM","1977-7-18","M","weight",NA
47,"DM","1977-7-18","M","hindfoot_length",32
47,"DM","1977-7-18","M","weight",NA
48,"DM","1977-7-18","F","hindfoot_length",36
48,"DM","1977-7-18","F","weight",NA
49,"PP","1977-7-18","F","hindfoot_length",17
49,"PP","1977-7-18","F","weight",NA
50,"DM","1977-7-18","F","hindfoot_length",32
50,"DM","1977-7-18","F","weight",NA
51,"DM","1977-7-18","F","hindfoot_length",36
51,"DM","1977-7-18","F","weight",NA
52,"DM","1977-7-18","F","hindfoot_length",26
52,"DM","1977-7-18","F","weight",NA
53,"DM","1977-7-18","M","hindfoot_length",36
53,"DM","1977-7-18","M","weight",NA
54,"DM","1977-7-18","M","hindfoot_length",37
54,"DM","1977-7-18","M","weight",NA
55,"DM","1977-7-18","M","hindfoot_length",36
55,"DM","1977-7-18","M","weight",NA
56,"DM","1977-7-18","M","hindfoot_length",34
56,"DM","1977-7-18","M","weight",NA
58,"DS","1977-7-18","M","hindfoot_length",45
58,"DS","1977-7-18","M","weight",NA
59,"DM","1977-7-18","M","hindfoot_length",33
59,"DM","1977-7-18","M","weight",NA
60,"PE","1977-7-18","M","hindfoot_length",20
60,"PE","1977-7-18","M","weight",NA
61,"DM","1977-7-18","M","hindfoot_length",35
61,"DM","1977-7-18","M","weight",NA
62,"DM","1977-7-18","M","hindfoot_length",35
62,"DM","1977-7-18","M","weight",NA
63,"DM","1977-8-19","M","hindfoot_length",35
63,"DM","1977-8-19","M","weight",40
64,"DM","1977-8-19","M","hindfoot_length",37
64,"DM","1977-8-19","M","weight",48
65,"DM","1977-8-19","F","hindfoot_length",34
65,"DM","1977-8-19","F","weight",29
66,"DM","1977-8-19","F","hindfoot_length",35
66,"DM","1977-8-19","F","weight",46
